Category|Descript
FRAUD|FRAUDULENT CREDIT APPLICATION
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
ASSAULT|INFLICT INJURY ON COHABITEE
SECONDARY CODES|DOMESTIC VIOLENCE
NON-CRIMINAL|AIDED CASE
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
NON-CRIMINAL|COURTESY REPORT
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE FOR SALE
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
ASSAULT|INFLICT INJURY ON COHABITEE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
DRUG/NARCOTIC|POSSESSION OF HEROIN
VEHICLE THEFT|STOLEN AUTOMOBILE
MISSING PERSON|MISSING JUVENILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|MISCELLANEOUS STATE MISDEMEANOR
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
ASSAULT|ATTEMPTED HOMICIDE WITH A GUN
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
VEHICLE THEFT|STOLEN TRUCK
DRUG/NARCOTIC|POSSESSION OF HEROIN
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|PETTY THEFT WITH PRIOR
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
FRAUD|CREDIT CARD, THEFT BY USE OF
STOLEN PROPERTY|RECEIVING STOLEN PROPERTY
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
DRUG/NARCOTIC|POSSESSION OF MARIJUANA
OTHER OFFENSES|PROBATION VIOLATION
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
ASSAULT|BATTERY
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
DRUG/NARCOTIC|POSSESSION OF HEROIN
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
OTHER OFFENSES|TRAFFIC VIOLATION
OTHER OFFENSES|FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
NON-CRIMINAL|LOST PROPERTY
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
FRAUD|FRAUDULENT USE OF AUTOMATED TELLER CARD
NON-CRIMINAL|AIDED CASE -PROPERTY FOR DESTRUCTION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
SECONDARY CODES|DOMESTIC VIOLENCE
DRUG/NARCOTIC|VISITING WHERE DRUGS ARE USED OR SMOKED
BURGLARY|BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY
VANDALISM|MALICIOUS MISCHIEF, BREAKING WINDOWS
KIDNAPPING|FALSE IMPRISONMENT
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
ASSAULT|BATTERY
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
NON-CRIMINAL|LOST PROPERTY
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
ASSAULT|THREATS AGAINST LIFE
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
ASSAULT|INFLICT INJURY ON COHABITEE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
ASSAULT|UNLAWFUL DISSUADING/THREATENING OF A WITNESS
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
WARRANTS|WARRANT ARREST
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
ASSAULT|BATTERY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|THREATS AGAINST LIFE
DRUNKENNESS|UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
WEAPON LAWS|POSS OF LOADED FIREARM
OTHER OFFENSES|RESISTING ARREST
NON-CRIMINAL|LOST PROPERTY
SECONDARY CODES|DOMESTIC VIOLENCE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
NON-CRIMINAL|LOST PROPERTY
TRESPASS|TRESPASSING
OTHER OFFENSES|RESISTING ARREST
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
LARCENY/THEFT|PETTY THEFT OF PROPERTY
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
MISSING PERSON|MISSING JUVENILE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
NON-CRIMINAL|LOST PROPERTY
ASSAULT|BATTERY
VEHICLE THEFT|STOLEN AUTOMOBILE
FRAUD|CREDIT CARD, THEFT BY USE OF
WARRANTS|ENROUTE TO PAROLE OFFICER
ROBBERY|ROBBERY ON THE STREET WITH A GUN
BURGLARY|BURGLARY OF STORE, UNLAWFUL ENTRY
WEAPON LAWS|CARRYING A CONCEALED WEAPON
OTHER OFFENSES|FAILURE TO REGISTER AS SEX OFFENDER
RECOVERED VEHICLE|RECOVERED VEHICLE - STOLEN OUTSIDE SF
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
ROBBERY|ROBBERY, BODILY FORCE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE FOR SALE
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
OTHER OFFENSES|MISCELLANEOUS STATE MISDEMEANOR
NON-CRIMINAL|FOUND PROPERTY
VEHICLE THEFT|STOLEN AND RECOVERED VEHICLE
SEX OFFENSES FORCIBLE|FORCIBLE RAPE, ARMED WITH A DANGEROUS WEAPON
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE, POSSIBLE SHOTS FIRED
LARCENY/THEFT|GRAND THEFT FROM PERSON
LARCENY/THEFT|PETTY THEFT WITH PRIOR
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
NON-CRIMINAL|FOUND PROPERTY
OTHER OFFENSES|PROBATION VIOLATION
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
MISSING PERSON|MISSING ADULT
VEHICLE THEFT|STOLEN AUTOMOBILE
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|CHILD ABUSE (PHYSICAL)
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
ASSAULT|INFLICT INJURY ON COHABITEE
ROBBERY|ROBBERY, BODILY FORCE
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
NON-CRIMINAL|AIDED CASE, INJURED PERSON
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|CONSPIRACY
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
NON-CRIMINAL|LOST PROPERTY
ASSAULT|BATTERY
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
WARRANTS|WARRANT ARREST
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
ROBBERY|ROBBERY ON THE STREET, STRONGARM
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM UNLOCKED AUTO
OTHER OFFENSES|HARASSING PHONE CALLS
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|STOLEN TRUCK
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
LARCENY/THEFT|GRAND THEFT FROM PERSON
WARRANTS|WARRANT ARREST
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|FOUND PROPERTY
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
NON-CRIMINAL|LOST PROPERTY
ASSAULT|THREATS AGAINST LIFE
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
BURGLARY|BURGLARY OF FLAT, UNLAWFUL ENTRY
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
LARCENY/THEFT|GRAND THEFT BICYCLE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT PICKPOCKET
NON-CRIMINAL|AIDED CASE, DOG BITE
ASSAULT|BATTERY
ROBBERY|ROBBERY ON THE STREET, STRONGARM
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
NON-CRIMINAL|LOST PROPERTY
LARCENY/THEFT|PETTY THEFT BICYCLE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
WEAPON LAWS|CARRYING A CONCEALED WEAPON
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
ARSON|FIRE, UNLAWFULLY CAUSING
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
WARRANTS|WARRANT ARREST
WARRANTS|WARRANT ARREST
LARCENY/THEFT|PETTY THEFT OF PROPERTY
MISSING PERSON|FOUND PERSON
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ROBBERY|ROBBERY ON THE STREET WITH A GUN
RUNAWAY|RUNAWAY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
FRAUD|IMPERSONATING A POLICE OFFICER
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
ASSAULT|BATTERY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
FORGERY/COUNTERFEITING|FORGERY & COUNTERFEITING (GENERAL)
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|TRAFFIC VIOLATION
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
NON-CRIMINAL|FOUND PROPERTY
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
ASSAULT|AGGRAVATED ASSAULT WITH A KNIFE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|BATTERY
NON-CRIMINAL|AIDED CASE -PROPERTY FOR DESTRUCTION
FRAUD|FORGERY, CREDIT CARD
ASSAULT|THREATS AGAINST LIFE
FAMILY OFFENSES|DESERTION OF CHILD
WARRANTS|WARRANT ARREST
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
ROBBERY|ROBBERY ON THE STREET WITH A GUN
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
VEHICLE THEFT|STOLEN AUTOMOBILE
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SECONDARY CODES|JUVENILE INVOLVED
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
DRUG/NARCOTIC|SALE OF BASE/ROCK COCAINE
LARCENY/THEFT|GRAND THEFT FROM PERSON
ROBBERY|ROBBERY ON THE STREET, STRONGARM
FRAUD|CREDIT CARD, THEFT BY USE OF
VANDALISM|MALICIOUS MISCHIEF
TRESPASS|TRESPASSING
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
NON-CRIMINAL|TARASOFF REPORT
WARRANTS|ENROUTE TO DEPARTMENT OF CORRECTIONS
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
ROBBERY|ROBBERY ON THE STREET, STRONGARM
VEHICLE THEFT|STOLEN AUTOMOBILE
LARCENY/THEFT|GRAND THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT OF PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
BURGLARY|BURGLARY OF FLAT, UNLAWFUL ENTRY
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT PICKPOCKET
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
DRUG/NARCOTIC|SALE OF MARIJUANA
WARRANTS|ENROUTE TO PAROLE OFFICER
NON-CRIMINAL|LOST PROPERTY
OTHER OFFENSES|HARASSING PHONE CALLS
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
MISSING PERSON|MISSING JUVENILE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
VEHICLE THEFT|STOLEN AUTOMOBILE
TRESPASS|TRESPASSING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
ASSAULT|ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON
OTHER OFFENSES|FALSE REPORT OF CRIME
SECONDARY CODES|PREJUDICE-BASED INCIDENT
ROBBERY|ROBBERY ON THE STREET, STRONGARM
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
MISSING PERSON|FOUND PERSON
TRESPASS|TRESPASSING
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
EMBEZZLEMENT|EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE
WARRANTS|WARRANT ARREST
SUSPICIOUS OCC|INVESTIGATIVE DETENTION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
ASSAULT|BATTERY
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
STOLEN PROPERTY|STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
SECONDARY CODES|DOMESTIC VIOLENCE
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|MISCELLANEOUS STATE MISDEMEANOR
SUSPICIOUS OCC|SUSPICIOUS ACT TOWARDS FEMALE
DRUG/NARCOTIC|MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED
MISSING PERSON|FOUND PERSON
VANDALISM|MALICIOUS MISCHIEF, GRAFFITI
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
ASSAULT|THREATS AGAINST LIFE
KIDNAPPING|ATTEMPTED KIDNAPPING, ADULT VICTIM
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
MISSING PERSON|MISSING ADULT
SECONDARY CODES|DOMESTIC VIOLENCE
NON-CRIMINAL|FIRE REPORT
OTHER OFFENSES|TRAFFIC VIOLATION
FRAUD|TRICK AND DEVICE, GRAND THEFT
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|THREATS AGAINST LIFE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
ASSAULT|BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
NON-CRIMINAL|FOUND PROPERTY
MISSING PERSON|FOUND PERSON
FRAUD|CREDIT CARD, THEFT BY USE OF
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
VEHICLE THEFT|STOLEN AUTOMOBILE
BURGLARY|BURGLARY, UNLAWFUL ENTRY
OTHER OFFENSES|TRAFFIC VIOLATION
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
SUSPICIOUS OCC|SUSPICIOUS ACT TOWARDS FEMALE
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
ASSAULT|BATTERY
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
ROBBERY|ROBBERY ON THE STREET WITH A GUN
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|INFLICT INJURY ON COHABITEE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|PROPERTY FOR IDENTIFICATION
OTHER OFFENSES|PROBATION VIOLATION
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
FRAUD|FRAUDULENT USE OF AUTOMATED TELLER CARD
NON-CRIMINAL|LOST PROPERTY
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
VEHICLE THEFT|STOLEN AUTOMOBILE
NON-CRIMINAL|AIDED CASE, SICK PERSON
ASSAULT|DISCHARGING IN GROSSLY NEGLIGENT MANNER
LARCENY/THEFT|GRAND THEFT OF PROPERTY
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
OTHER OFFENSES|PROBATION VIOLATION
OTHER OFFENSES|LOST/STOLEN LICENSE PLATE
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|PETTY THEFT WITH PRIOR
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
BAD CHECKS|CHECKS, NON-SUFFICIENT FUNDS (FELONY)
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
BURGLARY|BURGLARY, FORCIBLE ENTRY
FORGERY/COUNTERFEITING|CHECKS, FORGERY (FELONY)
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
KIDNAPPING|KIDNAPPING, ADULT VICTIM
VEHICLE THEFT|STOLEN TRUCK
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|DEATH REPORT, CAUSE UNKNOWN
LARCENY/THEFT|PETTY THEFT OF PROPERTY
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT BICYCLE
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
LARCENY/THEFT|GRAND THEFT FROM PERSON
MISSING PERSON|MISSING ADULT
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
LARCENY/THEFT|GRAND THEFT SHOPLIFTING
VEHICLE THEFT|STOLEN MOTORCYCLE
DRUG/NARCOTIC|POSSESSION OF NARCOTICS PARAPHERNALIA
DRUG/NARCOTIC|CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR
MISSING PERSON|FOUND PERSON
NON-CRIMINAL|FOUND PROPERTY
ROBBERY|ROBBERY, BODILY FORCE
LARCENY/THEFT|GRAND THEFT PICKPOCKET
NON-CRIMINAL|LOST PROPERTY
PROSTITUTION|SOLICITS FOR ACT OF PROSTITUTION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
VEHICLE THEFT|TAMPERING WITH A VEHICLE
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
SUICIDE|ATTEMPTED SUICIDE BY INGESTION
LARCENY/THEFT|PETTY THEFT OF PROPERTY
SUSPICIOUS OCC|SUSPICIOUS OCCURRENCE
BURGLARY|BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
ROBBERY|ROBBERY ON THE STREET WITH A GUN
NON-CRIMINAL|CASE CLOSURE
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
VEHICLE THEFT|STOLEN MOTORCYCLE
ASSAULT|THREATS AGAINST LIFE
FORGERY/COUNTERFEITING|FORGERY, NOTES
OTHER OFFENSES|DRIVERS LICENSE, SUSPENDED OR REVOKED
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
VEHICLE THEFT|STOLEN AUTOMOBILE
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
DRUG/NARCOTIC|POSSESSION OF CONTROLLED SUBSTANCE FOR SALE
DRIVING UNDER THE INFLUENCE|DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|OBSCENE PHONE CALLS(S)
MISSING PERSON|MISSING ADULT
VEHICLE THEFT|STOLEN AUTOMOBILE
DRUG/NARCOTIC|SALE OF COCAINE
DRUG/NARCOTIC|POSSESSION OF METH-AMPHETAMINE FOR SALE
FORGERY/COUNTERFEITING|FORGERY, FALSE ENTRIES IN RECORDS OR RETURNS
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
OTHER OFFENSES|RESISTING ARREST
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
OTHER OFFENSES|POSSESSION OF BURGLARY TOOLS
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
FORGERY/COUNTERFEITING|FORGERY, DRIVERS LICENSE OR ID-CARD
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
VANDALISM|MALICIOUS MISCHIEF, VANDALISM OF VEHICLES
ASSAULT|INFLICT INJURY ON COHABITEE
NON-CRIMINAL|LOST PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
WARRANTS|WARRANT ARREST
VEHICLE THEFT|STOLEN AUTOMOBILE
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY
ASSAULT|AGGRAVATED ASSAULT WITH BODILY FORCE
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
NON-CRIMINAL|FOUND PROPERTY
FRAUD|FORGERY, CREDIT CARD
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
LARCENY/THEFT|PETTY THEFT FROM LOCKED AUTO
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|TRAFFIC VIOLATION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
LARCENY/THEFT|GRAND THEFT FROM UNLOCKED AUTO
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
WARRANTS|POST RELEASE COMMUNITY SUPERVISION
LARCENY/THEFT|ATTEMPTED THEFT FROM LOCKED VEHICLE
BURGLARY|BURGLARY, UNLAWFUL ENTRY
WARRANTS|WARRANT ARREST
DRUG/NARCOTIC|TRANSPORTATION OF MARIJUANA
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
NON-CRIMINAL|LOST PROPERTY
MISSING PERSON|FOUND PERSON
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
VANDALISM|MALICIOUS MISCHIEF, VANDALISM
ASSAULT|THREATS AGAINST LIFE
NON-CRIMINAL|AIDED CASE
BURGLARY|BURGLARY OF RESIDENCE, UNLAWFUL ENTRY
OTHER OFFENSES|PAROLE VIOLATION
LARCENY/THEFT|PETTY THEFT FROM A BUILDING
VEHICLE THEFT|VEHICLE, RECOVERED, AUTO
ROBBERY|ROBBERY ON THE STREET WITH A GUN
OTHER OFFENSES|MISCELLANEOUS INVESTIGATION
OTHER OFFENSES|VIOLATION OF RESTRAINING ORDER
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
OTHER OFFENSES|TRAFFIC VIOLATION ARREST
DRUG/NARCOTIC|POSSESSION OF BASE/ROCK COCAINE
BURGLARY|BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY
NON-CRIMINAL|AIDED CASE, MENTAL DISTURBED
OTHER OFFENSES|INJURY TO TELEGRAPH/TELEPHONE LINES
ASSAULT|BATTERY
NON-CRIMINAL|CASE CLOSURE
WARRANTS|ENROUTE TO OUTSIDE JURISDICTION
LARCENY/THEFT|GRAND THEFT FROM LOCKED AUTO
NON-CRIMINAL|LOST PROPERTY
DRUG/NARCOTIC|POSSESSION OF MARIJUANA FOR SALES
LARCENY/THEFT|PETTY THEFT OF PROPERTY
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|AGGRAVATED ASSAULT WITH A DEADLY WEAPON
VEHICLE THEFT|STOLEN AUTOMOBILE
ASSAULT|INFLICT INJURY ON COHABITEE
ASSAULT|BATTERY
LARCENY/THEFT|GRAND THEFT FROM A BUILDING
LARCENY/THEFT|PETTY THEFT SHOPLIFTING
VEHICLE THEFT|VEHICLE, RECOVERED, OTHER VEHICLE
